airport,role,flights,pct_delayed,dominant_cause,avg_arr_delay,total_CarrierDelay,total_WeatherDelay,total_NASDelay,total_SecurityDelay,total_LateAircraftDelay,share_CarrierDelay,share_WeatherDelay,share_NASDelay,share_SecurityDelay,share_LateAircraftDelay,cluster
ICT,Origin,3293,0.4023686607956271,LateAircraftDelay,,6829.0,1018.0,6142.0,0.0,8474.0,0.3040110403775097,0.04531896897119708,0.273427413969639,0.0,0.3772425766816543,
IDA,Origin,676,0.3446745562130177,LateAircraftDelay,,891.0,280.0,632.0,0.0,940.0,0.32482683193583667,0.1020780167699599,0.23040466642362378,0.0,0.3426904848705797,
IFP,Origin,6,0.5,CarrierDelay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ILE,Origin,130,0.3076923076923077,LateAircraftDelay,,55.0,0.0,34.0,0.0,296.0,0.14285714285714285,0.0,0.08831168831168831,0.0,0.7688311688311689,
ILG,Origin,17,0.4117647058823529,CarrierDelay,,20.0,0.0,4.0,0.0,15.0,0.5128205128205128,0.0,0.10256410256410256,0.0,0.38461538461538464,
ILM,Origin,979,0.3881511746680286,NASDelay,,2460.0,311.0,2604.0,0.0,2570.0,0.3096286972938955,0.039144115796098174,0.3277533039647577,0.0,0.3234738829452486,
IMT,Origin,52,0.2115384615384615,LateAircraftDelay,,35.0,42.0,0.0,0.0,319.0,0.08838383838383838,0.10606060606060606,0.0,0.0,0.8055555555555556,
IND,Origin,12124,0.4199934015176509,LateAircraftDelay,,16101.0,2051.0,20712.0,23.0,25551.0,0.24986809025730158,0.03182904497346287,0.32142524597287314,0.0003569322449486328,0.39652068655141376,1.0
INL,Origin,42,0.2142857142857142,NASDelay,,378.0,0.0,871.0,0.0,71.0,0.2863636363636364,0.0,0.6598484848484848,0.0,0.05378787878787879,
IPL,Origin,71,0.3661971830985915,WeatherDelay,,87.0,104.0,3.0,0.0,97.0,0.29896907216494845,0.35738831615120276,0.010309278350515464,0.0,0.3333333333333333,
ISN,Origin,130,0.2538461538461538,CarrierDelay,,622.0,524.0,605.0,0.0,295.0,0.3040078201368524,0.2561094819159335,0.2956989247311828,0.0,0.1441837732160313,
ISO,Origin,69,0.4347826086956521,CarrierDelay,,213.0,25.0,44.0,0.0,0.0,0.7553191489361702,0.08865248226950355,0.15602836879432624,0.0,0.0,
ISP,Origin,2307,0.3693107932379714,LateAircraftDelay,,2981.0,732.0,2709.0,26.0,5628.0,0.2468532626697582,0.0606160980457105,0.22432924809539584,0.0021530308049022857,0.4660483603842332,
ITH,Origin,256,0.484375,LateAircraftDelay,,52.0,38.0,104.0,0.0,822.0,0.051181102362204724,0.03740157480314961,0.10236220472440945,0.0,0.8090551181102362,
ITO,Origin,1138,0.3198594024604569,LateAircraftDelay,,1006.0,24.0,413.0,0.0,1873.0,0.3033775633293124,0.007237635705669481,0.12454764776839566,0.0,0.5648371531966224,
IYK,Origin,105,0.1619047619047619,LateAircraftDelay,,14.0,0.0,41.0,0.0,52.0,0.1308411214953271,0.0,0.38317757009345793,0.0,0.48598130841121495,
JAC,Origin,886,0.417607223476298,CarrierDelay,,3191.0,371.0,2193.0,0.0,2683.0,0.37817018250770323,0.0439677648731927,0.25989570988385874,0.0,0.3179663427352453,
JAN,Origin,2867,0.4248343215905127,LateAircraftDelay,,3774.0,1446.0,4967.0,18.0,8543.0,0.2013014721570301,0.07712822701088116,0.2649349263921485,0.0009601024109238319,0.4556752720290164,
JAX,Origin,8111,0.4183207989150536,LateAircraftDelay,,11562.0,2595.0,17166.0,57.0,18378.0,0.23236464488122513,0.05215241770167611,0.3449897503918968,0.0011455444350657181,0.36934764259013625,1.0
JFK,Origin,25631,0.4332644063828957,CarrierDelay,,95730.0,23421.0,94055.0,708.0,81520.0,0.3240317634395499,0.07927658969516034,0.31836213841331734,0.002396474339446374,0.27593303411252595,0.0
JLN,Origin,66,0.4848484848484848,CarrierDelay,,831.0,34.0,164.0,0.0,749.0,0.46737907761529807,0.019122609673790775,0.0922384701912261,0.0,0.421259842519685,
JMS,Origin,56,0.2321428571428571,LateAircraftDelay,,373.0,74.0,13.0,0.0,530.0,0.37676767676767675,0.07474747474747474,0.013131313131313131,0.0,0.5353535353535354,
JNU,Origin,1329,0.4702784048156508,LateAircraftDelay,,2176.0,196.0,884.0,0.0,3320.0,0.3309002433090024,0.029805352798053526,0.13442822384428224,0.0,0.5048661800486618,
KOA,Origin,2255,0.3046563192904656,LateAircraftDelay,,3981.0,49.0,1690.0,0.0,6233.0,0.33305446331464905,0.004099389274659081,0.14138709947293565,0.0,0.5214590479377562,
KSM,Origin,7,0.5714285714285714,CarrierDelay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KTN,Origin,769,0.4317295188556567,LateAircraftDelay,,605.0,35.0,304.0,0.0,2199.0,0.1924912503977092,0.011135857461024499,0.0967228762328985,0.0,0.6996500159083678,
LAN,Origin,939,0.3652822151224707,LateAircraftDelay,,915.0,420.0,2092.0,0.0,2223.0,0.16194690265486725,0.0743362831858407,0.37026548672566373,0.0,0.3934513274336283,
LAR,Origin,41,0.2195121951219512,CarrierDelay,,191.0,0.0,63.0,0.0,162.0,0.45913461538461536,0.0,0.15144230769230768,0.0,0.3894230769230769,
LAS,Origin,44363,0.4518855803259473,LateAircraftDelay,,81290.0,5645.0,56940.0,566.0,131607.0,0.29447777198168434,0.02044934214339535,0.20626847504781778,0.0020503680519329973,0.47675404277516953,4.0
LAW,Origin,287,0.2926829268292683,LateAircraftDelay,,343.0,98.0,348.0,0.0,477.0,0.27093206951026855,0.07740916271721959,0.27488151658767773,0.0,0.3767772511848341,
LAX,Origin,65745,0.4453874819377899,LateAircraftDelay,,126335.0,4881.0,81633.0,1359.0,145847.0,0.35087694935495967,0.013556262237713683,0.22672369499104303,0.003774423351987891,0.40506867006429575,2.0
LBB,Origin,2512,0.3765923566878981,LateAircraftDelay,,1822.0,633.0,1573.0,0.0,5892.0,0.18366935483870966,0.06381048387096774,0.15856854838709677,0.0,0.5939516129032258,
LBE,Origin,56,0.2678571428571428,LateAircraftDelay,,277.0,0.0,58.0,0.0,372.0,0.3917963224893918,0.0,0.08203677510608204,0.0,0.5261669024045261,
LBF,Origin,13,0.3846153846153846,NASDelay,,0.0,0.0,32.0,0.0,12.0,0.0,0.0,0.7272727272727273,0.0,0.2727272727272727,
LBL,Origin,14,0.2857142857142857,LateAircraftDelay,,42.0,0.0,19.0,0.0,161.0,0.1891891891891892,0.0,0.08558558558558559,0.0,0.7252252252252253,
LCH,Origin,268,0.2723880597014925,LateAircraftDelay,,468.0,237.0,729.0,0.0,1132.0,0.18238503507404522,0.09236165237724084,0.28409976617303195,0.0,0.441153546375682,
LCK,Origin,18,0.4444444444444444,LateAircraftDelay,,23.0,100.0,76.0,0.0,342.0,0.04251386321626617,0.18484288354898337,0.14048059149722736,0.0,0.6321626617375231,
LEX,Origin,2144,0.416044776119403,NASDelay,,4910.0,2431.0,6802.0,0.0,5627.0,0.24835609509357612,0.12296408700050582,0.34405665149215986,0.0,0.28462316641375823,
LFT,Origin,919,0.3612622415669205,LateAircraftDelay,,3490.0,544.0,2810.0,5.0,4406.0,0.31008440693025324,0.04833407374500222,0.24966681474900043,0.000444247001332741,0.39147045757441135,
LGA,Origin,35590,0.4309637538634447,LateAircraftDelay,,66620.0,15152.0,85993.0,100.0,122311.0,0.22958480370533746,0.05221658579620644,0.29634773378914864,0.0003446184384649316,0.42150625827084254,1.0
LGB,Origin,3130,0.355591054313099,LateAircraftDelay,,5334.0,196.0,4869.0,107.0,9391.0,0.2680806151681158,0.009850731266020003,0.24471025782781325,0.005377695129919083,0.47198070060813185,
LIH,Origin,2138,0.3072965388213283,LateAircraftDelay,,4071.0,120.0,1419.0,8.0,5171.0,0.37732876077486327,0.011122439521735101,0.13152284734451755,0.0007414959681156733,0.4792844563907684,
LIT,Origin,4944,0.4340614886731391,LateAircraftDelay,,5146.0,2226.0,8229.0,127.0,14489.0,0.17030148591852268,0.07366714101333686,0.2723301452824569,0.00420293212430089,0.4794982956613827,
LMT,Origin,56,0.25,NASDelay,,0.0,11.0,357.0,0.0,49.0,0.0,0.026378896882494004,0.8561151079136691,0.0,0.11750599520383694,
LNK,Origin,950,0.3968421052631579,NASDelay,,1244.0,1447.0,2279.0,0.0,1362.0,0.19646241313960833,0.22852179406190776,0.3599178774478838,0.0,0.21509791535060013,
LNY,Origin,2,0.5,CarrierDelay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LRD,Origin,472,0.3622881355932203,LateAircraftDelay,,1609.0,449.0,1204.0,6.0,2171.0,0.29582643868358155,0.08255193969479684,0.22136422136422138,0.0011031439602868175,0.39915425629711343,
LSE,Origin,445,0.3662921348314606,LateAircraftDelay,,850.0,61.0,860.0,0.0,1254.0,0.2809917355371901,0.020165289256198347,0.28429752066115704,0.0,0.41454545454545455,
LWB,Origin,52,0.4038461538461538,LateAircraftDelay,,136.0,45.0,116.0,15.0,831.0,0.1189851268591426,0.03937007874015748,0.10148731408573929,0.013123359580052493,0.7270341207349081,
LWS,Origin,113,0.1858407079646017,LateAircraftDelay,,171.0,131.0,32.0,0.0,334.0,0.2559880239520958,0.19610778443113772,0.04790419161676647,0.0,0.5,
LYH,Origin,140,0.4357142857142857,NASDelay,,202.0,0.0,384.0,0.0,201.0,0.25667090216010163,0.0,0.48792884371029227,0.0,0.2554002541296061,
MAF,Origin,2538,0.3455476753349094,LateAircraftDelay,,2583.0,278.0,1985.0,5.0,9030.0,0.18608169440242056,0.02002737554931201,0.14300122469562712,0.0003602045962106477,0.6505295007564297,
MBS,Origin,1018,0.3388998035363458,LateAircraftDelay,,1303.0,233.0,1804.0,0.0,2243.0,0.23338706788464983,0.041733834855812287,0.323123768583199,0.0,0.4017553286763389,
MCI,Origin,17275,0.4106512301013024,LateAircraftDelay,,26277.0,2908.0,22904.0,95.0,37966.0,0.29148086522462563,0.0322573488630061,0.2540654464780921,0.0010537992235163617,0.42114254021075986,6.0
MCN,Origin,62,0.4838709677419355,CarrierDelay,,805.0,162.0,312.0,0.0,0.0,0.6293979671618452,0.1266614542611415,0.2439405785770133,0.0,0.0,
MCO,Origin,34145,0.4236930736564651,LateAircraftDelay,,55732.0,13646.0,67602.0,448.0,93283.0,0.24156628856014667,0.059147591575607575,0.29301593768827666,0.0019418233200844347,0.40432835885588464,1.0
MDT,Origin,2261,0.3967271118973905,LateAircraftDelay,,3404.0,919.0,3886.0,0.0,4338.0,0.27129991232964057,0.07324460030286124,0.3097154698334263,0.0,0.3457400175340719,
MDW,Origin,21607,0.4434211135280233,LateAircraftDelay,,54943.0,9746.0,35072.0,240.0,81682.0,0.30241134283339666,0.05364288348387026,0.1930395248867533,0.001320982150228695,0.4495852666457511,4.0
MEI,Origin,147,0.4013605442176871,LateAircraftDelay,,133.0,50.0,425.0,0.0,1139.0,0.07613050944476245,0.028620492272467088,0.24327418431597023,0.0,0.6519748139668002,
MEM,Origin,16006,0.4368361864300887,CarrierDelay,,27714.0,3590.0,21986.0,0.0,24143.0,0.3579094184649955,0.04636266191417096,0.28393578965040744,0.0,0.31179212997042605,3.0
MFE,Origin,1134,0.3994708994708995,LateAircraftDelay,,809.0,72.0,640.0,0.0,3361.0,0.165710774272839,0.014748054076198279,0.13109381401065137,0.0,0.6884473576403114,
MFR,Origin,953,0.4102833158447009,LateAircraftDelay,,2451.0,278.0,3711.0,27.0,3717.0,0.24067164179104478,0.027297721916732128,0.36439512961508247,0.0026512175962293792,0.36498428908091124,
MGM,Origin,984,0.4776422764227642,CarrierDelay,,3690.0,421.0,2953.0,0.0,3577.0,0.3467719199323372,0.03956395075650785,0.2775115120759327,0.0,0.3361526172352223,
MHK,Origin,140,0.3357142857142857,WeatherDelay,,255.0,731.0,501.0,0.0,567.0,0.12414800389483933,0.3558909444985394,0.2439143135345667,0.0,0.27604673807205454,
MHT,Origin,3443,0.3764159163520186,NASDelay,,4765.0,1183.0,8619.0,115.0,7428.0,0.215513342379014,0.0535052012663953,0.3898236092265943,0.005201266395296246,0.3359565807327001,
MIA,Origin,23448,0.4577362674854998,CarrierDelay,,59364.0,11812.0,45987.0,290.0,45463.0,0.3643840997814825,0.07250362149819539,0.2822743008667043,0.001780058435021729,0.2790579194185961,5.0
MIB,Origin,1,0.0,CarrierDelay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MKE,Origin,8580,0.4054778554778555,LateAircraftDelay,,17839.0,3333.0,21509.0,16.0,25873.0,0.26015750328131837,0.04860726265130524,0.3136794516552428,0.0002333381945457197,0.37732244421758787,1.0
MKG,Origin,74,0.3108108108108108,LateAircraftDelay,,143.0,325.0,124.0,0.0,459.0,0.13606089438629876,0.30922930542340626,0.11798287345385347,0.0,0.4367269267364415,
MKK,Origin,4,0.0,CarrierDelay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MLB,Origin,795,0.4440251572327044,NASDelay,,1087.0,272.0,1361.0,0.0,721.0,0.3158965417029933,0.07904678872420808,0.3955245568148794,0.0,0.20953211275791922,
MLI,Origin,1368,0.3969298245614035,LateAircraftDelay,,2250.0,981.0,2775.0,25.0,4712.0,0.20943870427254957,0.09131527506283162,0.2583077352694778,0.0023270967141394397,0.4386111886810016,
MLU,Origin,817,0.4406364749082007,CarrierDelay,,2732.0,124.0,1429.0,21.0,1792.0,0.44801574286651363,0.020334535913414234,0.23433912758281403,0.003443752049852411,0.2938668415874057,
MMH,Origin,22,0.4545454545454545,NASDelay,,7.0,0.0,304.0,0.0,61.0,0.01881720430107527,0.0,0.8172043010752689,0.0,0.1639784946236559,
